,Hash_Trans_ID,PRO,SKU_ID,Transaction_Date_ID,Transaction_Hour_ID,Online_Order_Type_Desc,POS_Sales,POS_UnitsSold,Department_ID,Class_ID,SubClass_ID,Dept_11,Dept_13,Dept_16,Dept_17,Dept_21,Dept_22,Dept_23,Dept_24,Dept_25,Dept_26,Dept_27,Dept_28,Dept_29,Dept_30,Dept_59,Dept_78
0,0000bb03239052a594e2f415b0d2643b8d498ae0,0,1.0,1,153217,1,106.92,3.0,1,1,1,0.0,0.0,0.0,0.0,0.0,106.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0006d7dd4c3fd47287aca3bbeb1976cb4edc4a7d,0,2.0,1,83123,1,147.35999999999999,2.0,1,1,2,0.0,0.0,0.0,0.0,0.0,147.35999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,000a349e57a4738201384f59b71b7c8f26bf49c8,0,2.0,1,113234,1,49.62,2.0,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,000b417d7fba7ad4f7aee739c8b17b6c6ec62d57,0,4.0,1,165053,1,915.24,7.0,1,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,915.24,0.0,0.0,0.0,0.0,0.0
16,0010276875c31390a2cf997409079a5fac684093,0,4.0,1,150047,1,1475.28,7.0,2,4,4,0.0,0.0,0.0,0.0,0.0,41.94,0.0,0.0,0.0,0.0,1433.34,0.0,0.0,0.0,0.0,0.0
19,001318172e53cacddf45067c8d9454b44450a28b,0,11.0,1,165955,1,1049.28,12.0,5,9,9,2.1,0.0,0.0,0.0,0.0,0.0,0.0,268.68,62.94,0.0,82.56,633.0,0.0,0.0,0.0,0.0
21,00147c1fd9eaa1b90712bfadce488a1427efd040,0,5.0,1,83558,1,279.66,5.0,2,3,4,0.0,0.0,0.0,0.0,0.0,102.96000000000001,0.0,0.0,176.70000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,00150dee5c5a6755487d801c8d58ba11b4a28cc4,0,1.0,1,94028,1,77.82,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,00168ddf7a50df9794b19fc6d0ab28e8f3893a9d,0,8.0,1,115844,1,821.22,7.2,2,5,8,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821.1599999999999,0.0,0.0,0.0,0.0
30,001a318024bd1e8bd9551e96bf7cb8c6bfe7f8b7,0,8.0,1,95821,1,2504.22,22.0,3,6,8,31.5,0.0,0.0,0.0,0.0,0.0,0.0,2307.48,0.0,0.0,165.23999999999998,0.0,0.0,0.0,0.0,0.0
31,001b3b104daa87d96039c71307e1bdb202e44873,0,4.0,1,133600,1,183.18,4.0,2,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.36,89.82,0.0,0.0,0.0,0.0
35,001f3b403aad6070b35de85b855a9198be88a169,0,2.0,1,125420,1,384.53999999999996,2.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.32,71.22,0.0,0.0,0.0,0.0
40,0022215baa2e3cd809de82befb8c8b168b5fa71f,0,1.0,1,142711,1,299.94,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,00237da6bddcd0f30caa7d46339a5bf93d6c8b2d,0,1.0,1,205552,1,714.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.0,0.0,0.0,0.0
42,0023ba88cb6f9aa8e0fd2fc90e1e811b0d39c019,0,3.0,1,161626,1,197.82000000000002,10.0,1,2,2,0.0,0.0,0.0,0.0,197.82000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0025abc7edd88df41b4db562fb4f8770b0d34d74,0,1.0,1,201444,1,179.94,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.94,0.0,0.0,0.0,0.0,0.0
46,002775eee9a022fd328b9cc5c15f7afd61e51d08,0,1.0,1,102843,1,3414.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3414.0,0.0,0.0,0.0
49,002a4983928cb5ff827fd0615967051ae86829bc,0,3.0,1,165201,1,268.14,3.0,2,3,3,4.5,0.0,0.0,0.0,0.0,0.0,0.0,263.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,002aae596929fc27d40456c213fb681646f1dd2c,0,4.0,1,171448,1,308.64,4.0,1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,002bbbd59c5c19a0fee01db6faa7352ca8e9c240,0,15.0,1,171009,1,3637.5,33.0,1,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3637.5,0.0,0.0,0.0,0.0,0.0
52,002c7c9e6bd15125e81f186397bba016fe4eafe6,0,26.0,1,144625,1,3911.220000000001,34.0,5,8,15,0.0,0.0,0.0,0.0,0.0,56.94,0.0,0.0,2481.480000000001,89.58,0.0,773.52,0.0,0.0,509.7,0.0
53,002cb5ea5ec4599c620632154947344903a58f31,0,4.0,1,92814,1,598.98,4.0,2,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.24,0.0,0.0,7.74,0.0,0.0,0.0,0.0
55,002f44cf996e5a0551e3f9faab01fba5c6329579,0,4.0,1,193046,1,2332.02,4.0,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.34,2251.6800000000003,0.0,0.0,0.0
60,003260668441b7b324a4bbc5ca546f01663c636e,0,1.0,1,164157,1,131.64,2.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,131.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0032ecd94b5dff9bf8ff693b8017e68fdfdc12f7,0,2.0,1,102436,1,43.56,3.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.96,0.0,0.0,0.0,27.6,0.0,0.0
64,00346bb28705a3b7274ab34ad355d126be35665a,0,1.0,1,105157,1,273.9,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,273.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0035f3b229b2759b96a16d97fe8450908e16109d,0,2.0,1,142701,1,833.94,2.0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,833.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,00366382888e72b87c95af24817f94184829112e,0,13.0,1,100106,1,4276.14,32.0,4,7,8,0.0,0.0,0.0,0.0,0.0,0.0,2221.92,0.0,835.68,582.0,0.0,0.0,0.0,0.0,636.5400000000001,0.0
